# range -128..128
# sum of line must not exceed the range!

# This is Catmull-Rom with 10% Scanlines

# horizontal coefficients
  0, 128,   0,   0
 -4, 127,   5,  -0
 -6, 123,  12,  -1
 -8, 118,  20,  -2
 -9, 111,  29,  -3
 -9, 102,  39,  -4
 -9,  93,  50,  -6
 -9,  83,  61,  -7
 -8,  72,  72,  -8
 -7,  61,  83,  -9
 -6,  50,  93,  -9
 -4,  39, 102,  -9
 -3,  29, 111,  -9
 -2,  20, 118,  -8
 -1,  12, 123,  -6
 -0,   5, 127,  -4

# vertical coefficients
   0, 128,   0,   0
   0, 127,   0,   0
   0, 126,   0,   0
   0, 123,   1,   0
   0, 119,   2,   0
   0, 113,   6,   0
   0, 103,  14,   0
   0,  85,  31,   0
   0,  58,  58,   0
   0,  31,  85,   0
   0,  14, 103,   0
   0,   6, 113,   0
   0,   2, 119,   0
   0,   1, 123,   0
   0,   0, 126,   0
   0,   0, 127,   0
